Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,30/10/1866,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,22/01/1868,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Arnhem,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Arnhem,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Arnhem,04/02/1868,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Arnhem,04/02/1868,,,,,,,,,,
jhr.mr. J.W. van Loon,Arnhem,08/06/1869,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Arnhem,13/06/1871,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Arnhem,08/06/1875,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Arnhem,22/06/1875,,,,,,,,,,
mr. W.C.J.J. Cremers,Arnhem,28/05/1878,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Arnhem,14/06/1881,,,,,,,,,,
mr. H.C. Verniers van der Loeff,Arnhem,12/06/1883,,,,,,,,,,
W. Rooseboom,Arnhem,28/10/1884,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Arnhem,28/10/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Arnhem,11/11/1884,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Arnhem,15/06/1886,,,,,,,,,,
mr. R. baron van Melvil van Lynden,Arnhem,15/06/1886,,,,,,,,,,
mr. C.J.A. Heydenrijck,Nijmegen,10/06/1862,,,,,,,,,,
dr. W.R. baron van HoÃ«vell,Tiel,27/08/1850,,,,,,,,,,
mr. J.A.A. Leemans,Tiel,09/11/1852,,,,,,,,,,
mr. J.M. de Kempenaer,Tiel,23/11/1852,,,,,,,,,,
jhr. B. van Merlen,Tiel,08/06/1858,,,,,,,,,,
W.J. Knoop,Tiel,08/06/1869,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Tiel,08/06/1869,,,,,,,,,,
T.J. Stieltjes,Tiel,08/06/1869,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Tiel,13/06/1871,,,,,,,,,,
mr. L.A.J.W. baron van Sloet van de Beele,Tiel,10/10/1871,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,15/09/1874,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,29/09/1874,,,,,,,,,,
P.A.C.H.T.A. WerdmÃ¼ller von Elgg,Tiel,17/04/1877,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Tiel,10/06/1879,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Tiel,14/06/1881,,,,,,,,,,
mr. W.H. de Beaufort,Tiel,12/06/1883,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,28/10/1884,,,,,,,,,,
mr. C. Pijnacker Hordijk,Tiel,28/10/1884,,,,,,,,,,
mr. H.J. Dijckmeester,Tiel,15/06/1886,,,,,,,,,,
mr. P. Rink,Tiel,15/06/1886,,,,,,,,,,
mr. P. Rink,Tiel,01/09/1887,,,,,,,,,,
mr. M. Tydeman jr.,Tiel,01/09/1887,,,,,,,,,,
E.W. van Dam van Isselt,Amersfoort,27/08/1850,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,17/05/1853,,,,,,,,,,
mr. S. van Walchren,Amersfoort,17/05/1853,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,06/06/1853,,,,,,,,,,
mr. J.F. baron van Reede van Oudtshoorn,Amersfoort,10/06/1856,,,,,,,,,,
S.A. van Hoogstraten,Amersfoort,10/06/1856,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,24/06/1856,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,22/09/1857,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,06/10/1857,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,24/04/1860,,,,,,,,,,
mr. G. Groen van Prinsterer,Amersfoort,08/05/1860,,,,,,,,,,
jhr.mr. H.A.M. van Asch van Wijck,Amersfoort,12/06/1860,,,,,,,,,,
mr. H. Verloren van Themaat,Amersfoort,10/06/1862,,,,,,,,,,
mr. H. Verloren van Themaat,Amersfoort,24/06/1862,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,08/06/1869,,,,,,,,,,
J.A. Alberdingk Thijm,Amersfoort,13/06/1871,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,10/06/1873,,,,,,,,,,
mr. W. baron van Goltstein,Amersfoort,23/06/1874,,,,,,,,,,
jhr.mr. M.M. van Asch van Wijck,Amersfoort,07/07/1874,,,,,,,,,,
mr. W. baron van Goltstein,Amersfoort,12/06/1877,,,,,,,,,,
mr. N.P.J. Kien,Utrecht,13/06/1854,,,,,,,,,,
jhr.mr. H.A.M. van Asch van Wijck,Utrecht,27/06/1854,,,,,,,,,,
jhr.mr. J.L.B. de Muralt,Utrecht,08/06/1858,,,,,,,,,,
mr. W.R. Boer,Utrecht,12/06/1866,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Utrecht,12/06/1866,,,,,,,,,,
mr. B.G.A. Pabst,Utrecht,12/06/1866,,,,,,,,,,
mr. W.R. Boer,Utrecht,26/06/1866,,,,,,,,,,
mr. H. Verloren van Themaat,Utrecht,13/11/1866,,,,,,,,,,
mr. N.P.J. Kien,Utrecht,13/06/1871,,,,,,,,,,
mr. W.R. Boer,Utrecht,27/06/1871,,,,,,,,,,
mr. J. Messchert van Vollenhoven,Utrecht,10/06/1873,,,,,,,,,,
mr. E. du Marchie van Voorthuysen,Utrecht,24/06/1873,,,,,,,,,,
mr. N.P.J. Kien,Utrecht,08/06/1875,,,,,,,,,,
mr. N.P.J. Kien,Utrecht,22/06/1875,,,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Utrecht,12/06/1877,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Utrecht,10/06/1879,,,,,,,,,,
J.N. Bastert,Utrecht,24/06/1879,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Utrecht,04/11/1879,,,,,,,,,,
J.E.N. baron van Schimmelpenninck van der Oye,Utrecht,12/06/1883,,,,,,,,,,
J.N. Bastert,Utrecht,11/11/1884,,,,,,,,,,
jhr.mr. J. RoÃ«ll,Utrecht,15/06/1886,,,,,,,,,,
mr. W.J. Royaards van den Ham,Utrecht,15/06/1886,,,,,,,,,,
mr. W.J. Royaards van den Ham,Utrecht,01/09/1887,,,,,,,,,,
J. Duyvis,Utrecht,01/09/1887,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Hilversum,26/02/1878,,,,,,,,,,
J.F.H. Bekhuis,Hilversum,09/05/1882,,,,,,,,,,
jhr. P. Opperdoes Alewijn,Hoorn,30/11/1848,,,,,,,,,,
J.C. Pilaar,Hoorn,14/12/1848,,,,,,,,,,
G. van Leeuwen,Alkmaar,30/11/1848,,,,,,,,,,
mr. J.S. van Naamen,Amsterdam V,30/11/1848,,,,,,,,,,
mr. J.S. van Naamen,Amsterdam V,14/12/1848,,,,,,,,,,
jhr. P. Opperdoes Alewijn,Hoorn,20/04/1852,,,,,,,,,,
jhr. P. Opperdoes Alewijn,Hoorn,05/05/1852,,,,,,,,,,
J. Donker Hzn.,Hoorn,08/06/1852,,,,,,,,,,
J. Donker Hzn.,Hoorn,17/05/1853,,,,,,,,,,
mr.dr. P.M. Tutein Nolthenius,Hoorn,03/04/1855,,,,,,,,,,
mr. A.S. van Nierop,Hoorn,17/04/1855,,,,,,,,,,
mr. J.G.A. Faber,Hoorn,30/07/1858,,,,,,,,,,
mr.dr. P.M. Tutein Nolthenius,Hoorn,20/03/1860,,,,,,,,,,
mr. M.J. de Lange,Hoorn,03/04/1860,,,,,,,,,,
mr. W. baron van Goltstein,Hoorn,14/06/1864,,,,,,,,,,
mr. W. Terpstra,Hoorn,14/06/1864,,,,,,,,,,
mr. W. baron van Goltstein,Hoorn,28/06/1864,,,,,,,,,,
jhr.mr. W.T. Gevers Deynoot,Hoorn,21/07/1864,,,,,,,,,,
jhr.mr. W.T. Gevers Deynoot,Hoorn,04/08/1864,,,,,,,,,,
mr. W. Terpstra,Hoorn,12/06/1866,,,,,,,,,,
H. Mensonides,Hoorn,30/10/1866,,,,,,,,,,
mr. P.P. van Bosse,Hoorn,30/10/1866,,,,,,,,,,
mr. W. Terpstra,Hoorn,13/11/1866,,,,,,,,,,
mr. W. baron van Goltstein,Hoorn,13/06/1871,,,,,,,,,,
C. Bloem,Hoorn,13/10/1874,,,,,,,,,,
C. Bloem,Hoorn,27/10/1874,,,,,,,,,,
jhr.mr. M.A. de Savornin Lohman,Hoorn,12/06/1883,,,,,,,,,,
jhr.mr. C. van Foreest,Alkmaar,10/06/1856,,,,,,,,,,
mr. A.S. van Nierop,Alkmaar,24/06/1856,,,,,,,,,,
mr. K.A. Poortman,Alkmaar,17/03/1857,,,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Alkmaar,31/03/1857,,,,,,,,,,
mr. P. BlussÃ© van Oud-Alblas,Alkmaar,12/06/1860,,,,,,,,,,
mr. P. BlussÃ© van Oud-Alblas,Alkmaar,26/06/1860,,,,,,,,,,
J.D. van Herwerden,Alkmaar,12/06/1866,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,30/10/1866,,,,,,,,,,
mr. N. Olivier,Alkmaar,30/10/1866,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,22/01/1868,,,,,,,,,,
mr.dr. E.H. s' Jacob,Alkmaar,22/01/1868,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,04/02/1868,,,,,,,,,,
jhr.mr. C. van Foreest,Alkmaar,08/06/1869,,,,,,,,,,
W.J. Knoop,Alkmaar,30/08/1870,,,,,,,,,,
jhr.mr. H.G.C.L. Janssens,Alkmaar,25/10/1870,,ja,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Alkmaar,13/06/1871,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,10/06/1873,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,08/06/1875,,,,,,,,,,
mr. J. Heemskerk Azn.,Alkmaar,10/06/1879,,,,,,,,,,
W. Bos,Alkmaar,28/10/1884,,ja,,,,,,,,
mr. J.A.N. Travaglino,Alkmaar,28/10/1884,,,,,,,,,,
jhr. C. Hartsen,Alkmaar,15/06/1886,,,,,,,,,,
H.W. van Marle,Alkmaar,15/06/1886,,,,,,,,,,
jhr. C. Hartsen,Alkmaar,25/10/1887,,,,,,,,,,
J.J. van Mulken,Haarlem,10/06/1862,,,,,,,,,,
mr. J. Heemskerk Bzn.,Haarlem,10/06/1862,,,,,,,,,,
jhr. M. Salvador,Haarlem,10/06/1862,,,,,,,,,,
mr. F.A. van Hall,Haarlem,24/06/1862,,,,,,,,,,
G.L.J. van der Hucht,Haarlem,14/06/1864,,,,,,,,,,
G.L.J. van der Hucht,Haarlem,28/06/1864,,,,,,,,,,
mr. A.S. van Nierop,Haarlem,30/10/1866,,,,,,,,,,
H.G. Jansen,Haarlem,30/10/1866,,,,,,,,,,
mr. A.S. van Nierop,Haarlem,13/11/1866,,,,,,,,,,
H.G. Jansen,Haarlem,13/11/1866,,,,,,,,,,
jhr.mr. J. de Bosch Kemper,Haarlem,22/01/1868,,,,,,,,,,
mr. J.H. Geertsema,Haarlem,22/01/1868,,,,,,,,,,
mr. A.S. van Nierop,Haarlem,22/01/1868,,,,,,,,,,
jhr.mr. J. de Bosch Kemper,Haarlem,04/02/1868,,,,,,,,,,
mr. J.H. Geertsema,Haarlem,04/02/1868,,,,,,,,,,
mr. A.S. van Nierop,Haarlem,04/02/1868,,,,,,,,,,
mr. D. Koorders,Haarlem,25/02/1868,,,,,,,,,,
mr. A.S. van Nierop,Haarlem,10/03/1868,,,,,,,,,,
mr. W. Wintgens,Haarlem,16/02/1869,,,,,,,,,,
mr. J. Kappeyne van de Coppello,Haarlem,15/07/1884,,,,,,,,,,
mr. J.A.N. Travaglino,Haarlem,15/07/1884,,,,,,,,,,
jhr.mr. A.J. Rethaan MacarÃ©,Haarlem,28/10/1884,,,,,,,,,,
mr. J.A.N. Travaglino,Haarlem,28/10/1884,,,,,,,,,,
jhr.mr. A.J. Rethaan MacarÃ©,Haarlem,11/11/1884,,,,,,,,,,
mr. S. baron van Heemstra 2,Haarlem,15/06/1886,,,,,,,,,,
J.J. Rochussen,Amsterdam,08/06/1852,,,,,,,,,,
J.J. Rochussen,Amsterdam,22/06/1852,,,,,,,,,,
mr. P.P. van Bosse,Amsterdam,17/05/1853,,,,,,,,,,
J.C. Rijk,Amsterdam,17/05/1853,,,,,,,,,,
mr. J. Heemskerk Bzn.,Amsterdam,17/05/1853,,,,,,,,,,
jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,17/05/1853,,,,,,,,,,
mr. G. Groen van Prinsterer,Amsterdam,17/05/1853,,,,,,,,,,
mr. J. Heemskerk Bzn.,Amsterdam,16/06/1853,,,,,,,,,,
jhr. J.P. Cornets de Groot van Kraayenburg,Amsterdam,13/06/1854,,,,,,,,,,
mr. P. BlussÃ© van Oud-Alblas,Amsterdam,13/06/1854,,,,,,,,,,
mr. J.L. de Bruyn Kops,Amsterdam,08/06/1858,,,,,,,,,,
mr. J. van Lennep,Amsterdam,25/01/1859,,,,,,,,,,
mr. J. van Lennep,Amsterdam,08/02/1859,,,,,,,,,,
W. Poolman,Amsterdam,27/12/1859,,,,,,,,,,
W. Poolman,Amsterdam,20/03/1860,,,,,,,,,,
dr. A. Vrolik,Amsterdam,20/03/1860,,,,,,,,,,
J.G. Rijnders,Amsterdam,03/04/1860,,,,,,,,,,
mr. C. van Heukelom,Amsterdam,12/06/1860,,,,,,,,,,
J.D. van Herwerden,Amsterdam,10/06/1862,,,,,,,,,,
mr. J. Heemskerk Azn.,Amsterdam,14/06/1864,,,,,,,,,,
J.J.A. Santhagens,Amsterdam,14/06/1864,,,,,,,,,,
J.J. Hasselman,Amsterdam,14/06/1864,,,,,,,,,,
mr. J. Heemskerk Azn.,Amsterdam,28/06/1864,,,,,,,,,,
J.J.A. Santhagens,Amsterdam,28/06/1864,,,,,,,,,,
jhr.mr. J. de Bosch Kemper,Amsterdam,30/10/1866,,,,,,,,,,
H.A. Insinger,Amsterdam,30/10/1866,,,,,,,,,,
J. van Swieten,Amsterdam,30/10/1866,,,,,,,,,,
mr. J.J.W. van den Biesen,Amsterdam,30/10/1866,,,,,,,,,,
mr. C. van Heukelom,Amsterdam,30/10/1866,,,,,,,,,,
mr. P.P. van Bosse,Amsterdam,13/11/1866,,,,,,,,,,
J. van Swieten,Amsterdam,13/11/1866,,,,,,,,,,
mr. J.R. Thorbecke,Amsterdam,22/01/1868,,,,,,,,,,
mr. J. Heemskerk Bzn.,Amsterdam,22/01/1868,,,,,,,,,,
T.J. Stieltjes,Amsterdam,22/01/1868,,,,,,,,,,
mr. D. Koorders,Amsterdam,22/01/1868,,,,,,,,,,
mr. J. Wertheim,Amsterdam,22/01/1868,,,,,,,,,,
mr.dr. E.H. s' Jacob,Amsterdam,13/02/1868,,,,,,,,,,
mr. M.J. Pijnappel,Amsterdam,08/06/1869,,,,,,,,,,
dr. J. Bosscha jr.,Amsterdam,12/10/1869,,,,,,,,,,
jhr.mr. G.C.J. van Reenen,Amsterdam,08/02/1870,,,,,,,,,,
mr. T.M.C. Asser,Amsterdam,08/02/1870,,,,,,,,,,
J.P. de Bordes,Amsterdam,13/06/1871,,,,,,,,,,
mr. A.S. van Nierop,Amsterdam,13/06/1871,,,,,,,,,,
H.A. Insinger,Amsterdam,13/06/1871,,,,,,,,,,
J.P. de Bordes,Amsterdam,27/06/1871,,,,,,,,,,
H.A. Insinger,Amsterdam,05/12/1871,,,,,,,,,,
mr.dr. J.A. Jolles,Amsterdam,22/10/1872,,,,,,,,,,
mr. A.S. van Nierop,Amsterdam,22/10/1872,,,,,,,,,,
G. Fabius,Amsterdam,05/11/1872,,,,,,,,,,
G. Fabius,Amsterdam,10/06/1873,,,,,,,,,,
mr.dr. J.A. Jolles,Amsterdam,24/06/1873,,,,,,,,,,
jhr.mr. G.C.J. van Reenen,Amsterdam,08/06/1875,,,,,,,,,,
mr. A.S. van Nierop,Amsterdam,26/02/1878,,,,,,,,,,
mr. M.J. van Lennep,Amsterdam,26/02/1878,,,,,,,,,,
mr. A.S. van Nierop,Amsterdam,12/03/1878,,,,,,,,,,
mr. J. Kappeyne van de Coppello,Amsterdam,03/08/1880,,,,,,,,,,
H.W. van Marle,Amsterdam,27/03/1883,,,,,,,,,,
A. Gildemeester,Amsterdam,27/03/1883,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Amsterdam,27/03/1883,,,,,,,,,,
mr. J. Kappeyne van de Coppello,Amsterdam,27/03/1883,,,,,,,,,,
jhr.mr. J.W.H. Rutgers van Rozenburg,Haarlemmermeer,08/06/1869,,,,,,,,,,
mr. J.J.W. van den Biesen,Haarlemmermeer,22/06/1869,,,,,,,,,,
jhr.mr. J.W.H. Rutgers van Rozenburg,Haarlemmermeer,08/06/1875,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,19/03/1878,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,10/06/1879,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,24/06/1879,,,,,,,,,,
mr. D. Visser van Hazerswoude,Haarlemmermeer,12/06/1883,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,15/06/1886,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,29/06/1886,,,,,,,,,,
J.A. de Fremery,Leiden,27/08/1850,,,,,,,,,,
mr. J.H. van der Sande,Leiden,27/08/1850,,,,,,,,,,
J.A. de Fremery,Leiden,10/09/1850,,,,,,,,,,
P.H. baron van Taets van Amerongen,Leiden,17/05/1853,,,,,,,,,,
jhr.mr. G.C.J. van Reenen,Leiden,15/07/1856,,,,,,,,,,
mr. N. Olivier,Leiden,12/08/1856,,,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Leiden,18/08/1857,,,,,,,,,,
mr.dr. J.J. Teding van Berkhout,Leiden,18/08/1857,,,,,,,,,,
mr. N. Olivier,Leiden,02/09/1857,,,,,,,,,,
mr. G. Groen van Prinsterer,Leiden,10/06/1862,,,,,,,,,,
jhr. J.A.C.A. van Nispen van Sevenaer,Leiden,10/06/1862,,,,,,,,,,
dr. P. Bleeker,Leiden,10/06/1862,,,,,,,,,,
mr. G. Groen van Prinsterer,Leiden,24/06/1862,,,,,,,,,,
mr. G. Groen van Prinsterer,Leiden,12/06/1866,,,,,,,,,,
jhr.mr. H. van Alphen,Leiden,30/10/1866,,,,,,,,,,
mr. J.L. de Bruyn Kops,Leiden,30/10/1866,,,,,,,,,,
mr. J.L. de Bruyn Kops,Leiden,22/01/1868,,,,,,,,,,
jhr.mr. H. van Alphen,Leiden,22/01/1868,,,,,,,,,,
mr. G. Groen van Prinsterer,Leiden,22/01/1868,,,,,,,,,,
P.H. baron van Taets van Amerongen,Leiden,08/06/1869,,,,,,,,,,
mr.dr. J.J. Teding van Berkhout,Leiden,08/06/1869,,,,,,,,,,
mr. H.A. Neeb,Leiden,22/06/1869,,ja,,,,,,,,
jhr.mr. J.L.C. van den Berch van Heemstede,Leiden,18/03/1873,,,,,,,,,,
W.J.F. Nuyens,Leiden,18/03/1873,,,,,,,,,,
mr. H.A. Neeb,Leiden,01/04/1873,,ja,,,,,,,,
mr. H.C. Verniers van der Loeff,Leiden,10/06/1873,,,,,,,,,,
mr. R.J. graaf van Schimmelpenninck,Leiden,10/06/1873,,,,,,,,,,
mr. H.A. Neeb,Leiden,12/06/1877,,ja,,,,,,,,
O. baron van Wassenaer van Catwijck,Leiden,10/06/1879,,,,,,,,,,
mr. L.G. Verwer,Leiden,10/06/1879,,,,,,,,,,
J. Rinkes Borger,Leiden,15/06/1886,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Leiden,15/06/1886,,,,,,,,,,
J.H. Donner,Leiden,15/06/1886,,,,,,,,,,
mr. H. graaf van Limburg Stirum,Leiden,29/06/1886,,,,,,,,,,
J. Rinkes Borger,Leiden,29/06/1886,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Leiden,01/09/1887,,,,,,,,,,
J.H. Donner,Leiden,01/09/1887,,,,,,,,,,
mr. F. Was,Leiden,01/09/1887,,,,,,,,,,
H.J. Bool,Leiden,01/09/1887,,,,,,,,,,
mr. P.L.F. BlussÃ©,Leiden,13/12/1887,,,,,,,,,,
mr. Th. Heemskerk,Leiden,13/12/1887,,,,,,,,,,
mr. J.P. Smeele,Leiden,27/12/1887,,,,,,,,,,
E.C.U. van Doorn,Gouda,27/08/1850,,,,,,,,,,
mr. Ã. baron van Mackay,Gouda,27/08/1850,,,,,,,,,,
mr. G. Groen van Prinsterer,Gouda,22/06/1852,,,,,,,,,,
mr. J.W. Gefken,Gouda,13/06/1853,,,,,,,,,,
jhr.mr. W.M. de Brauw,Gouda,10/06/1856,,,,,,,,,,
mr. J.W. Gefken,Gouda,10/06/1856,,,,,,,,,,
mr. L. Metman,Gouda,24/06/1856,,,,,,,,,,
mr. J.B.L. Wentholt,Gouda,14/06/1864,,ja,,,,,,,,
jhr.mr. W.T. Gevers Deynoot,Gouda,30/10/1866,,,,,,,,,,
mr. P.P. van Bosse,Gouda,30/10/1866,,,,,,,,,,
mr. P.P. van Bosse,Gouda,22/01/1868,,,,,,,,,,
jhr.mr. W.T. Gevers Deynoot,Gouda,22/01/1868,,,,,,,,,,
dr. J. Bosscha jr.,Gouda,08/06/1869,,,,,,,,,,
mr. J.B.L. Wentholt,Gouda,13/06/1871,,ja,,,,,,,,
dr. A. Kuyper,Gouda,10/06/1873,,,,,,,,,,
mr. J.T. Buys,Gouda,10/06/1873,,ja,,,,,,,,
dr. A. Kuyper,Gouda,24/06/1873,,,,,,,,,,
dr. A. Kuyper,Gouda,06/01/1874,,,,,,,,,,
mr. H.C. Verniers van der Loeff,Gouda,20/01/1874,,,,,,,,,,
mr. M. Bichon van Ysselmonde,Gouda,13/02/1874,,,,,,,,,,
jhr.mr. H.J. van der Heim,Gouda,13/02/1874,,,,,,,,,,
mr. J.G. Patijn,Gouda,08/06/1875,,,,,,,,,,
mr. P.P. van Bosse,Gouda,12/06/1877,,,,,,,,,,
mr. J.G. Patijn,Gouda,12/06/1877,,,,,,,,,,
dr. T.C.L. Wijnmalen,Gouda,12/06/1877,,ja,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Gouda,10/06/1879,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Gouda,24/06/1879,,,,,,,,,,
mr. A.A. van Bergen Ijzendoorn,Gouda,14/06/1881,,ja,,,,,,,,
